FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                 	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                  	|  -              	|  271125         	|  6438.8         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                     	|  31.988         	|  200            	|  6397.5         	|  99.359         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                             	|  0.21747        	|  7200           	|  1565.8         	|  24.318         	|
|  run_training_batch                                                                                                                                                     	|  0.12799        	|  7200           	|  921.55         	|  14.312         	|
|  [LightningModule]Toymodel.optimizer_step                                                                                                                               	|  0.12773        	|  7200           	|  919.66         	|  14.283         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                         	|  0.11254        	|  7842           	|  882.51         	|  13.706         	|
|  [LightningModule]Toymodel.transfer_batch_to_device                                                                                                                     	|  0.11247        	|  7842           	|  881.99         	|  13.698         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                           	|  0.10995        	|  7200           	|  791.61         	|  12.294         	|
|  [LightningModule]Toymodel.on_validation_epoch_start                                                                                                                    	|  10.129         	|  41             	|  415.28         	|  6.4496         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                           	|  0.022583       	|  7200           	|  162.6          	|  2.5253         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                                	|  0.016665       	|  7200           	|  119.99         	|  1.8635         	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_end        	|  0.157          	|  41             	|  6.437          	|  0.099972       	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                         	|  0.0093692      	|  642            	|  6.015          	|  0.093418       	|
|  [LightningModule]Toymodel.optimizer_zero_grad                                                                                                                          	|  0.00018681     	|  7200           	|  1.345          	|  0.020889       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                      	|  0.001634       	|  642            	|  1.049          	|  0.016292       	|
|  [_EvaluationLoop].val_next                                                                                                                                             	|  0.0014044      	|  643            	|  0.903          	|  0.014024       	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                          	|  0.020244       	|  41             	|  0.83           	|  0.012891       	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                           	|  0.001085       	|  200            	|  0.217          	|  0.0033702      	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  2.5833e-05     	|  7200           	|  0.186          	|  0.0028887      	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                         	|  0.000625       	|  200            	|  0.125          	|  0.0019414      	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                            	|  0.0026341      	|  41             	|  0.108          	|  0.0016773      	|
|  [LightningModule]Toymodel.configure_gradient_clipping                                                                                                                  	|  1.3056e-05     	|  7200           	|  0.094          	|  0.0014599      	|
|  [LightningModule]Toymodel.on_after_batch_transfer                                                                                                                      	|  8.1612e-06     	|  7842           	|  0.064          	|  0.00099397     	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                    	|  9.8131e-05     	|  642            	|  0.063          	|  0.00097844     	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                         	|  6.5278e-06     	|  7200           	|  0.047          	|  0.00072995     	|
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                            	|  4.4444e-06     	|  7200           	|  0.032          	|  0.00049699     	|
|  [LightningModule]Toymodel.on_validation_model_eval                                                                                                                     	|  0.0007561      	|  41             	|  0.031          	|  0.00048146     	|
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                          	|  4.3056e-06     	|  7200           	|  0.031          	|  0.00048146     	|
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                             	|  4.3056e-06     	|  7200           	|  0.031          	|  0.00048146     	|
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                           	|  2.2222e-06     	|  7200           	|  0.016          	|  0.00024849     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  2.2222e-06     	|  7200           	|  0.016          	|  0.00024849     	|
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                        	|  2.2222e-06     	|  7200           	|  0.016          	|  0.00024849     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step 	|  2.2222e-06     	|  7200           	|  0.016          	|  0.00024849     	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                            	|  2.2222e-06     	|  7200           	|  0.016          	|  0.00024849     	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.015          	|  1              	|  0.015          	|  0.00023296     	|
|  [Callback]ModelSummary.on_fit_start                                                                                                                                    	|  0.015          	|  1              	|  0.015          	|  0.00023296     	|
|  [LightningModule]Toymodel.on_before_zero_grad                                                                                                                          	|  2.0833e-06     	|  7200           	|  0.015          	|  0.00023296     	|
|  [LightningModule]Toymodel.lr_scheduler_step                                                                                                                            	|  7.5e-05        	|  200            	|  0.015          	|  0.00023296     	|
|  [LightningModule]Toymodel.on_validation_model_train                                                                                                                    	|  0.00036585     	|  41             	|  0.015          	|  0.00023296     	|
|  [LightningModule]Toymodel.configure_callbacks                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.prepare_data                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.setup                                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.setup                                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_sharded_model                                                                                                                      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.configure_optimizers                                                                                                                         	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_start             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_fit_start                                                                                                                                 	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_sanity_check_start                                                                                                                        	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_sanity_check_start                                                                                                                           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_sanity_check_start    	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_start                                                                                                                             	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_start      	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_start                                                                                                                          	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_validation_start                                                                                                                     	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_validation_epoch_start                                                                                                                    	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_epoch_start                                                                                                                       	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_epoch_start	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_before_batch_transfer                                                                                                                     	|  0.0            	|  7842           	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_batch_start                                                                                                                       	|  0.0            	|  642            	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_start	|  0.0            	|  642            	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_batch_start                                                                                                                    	|  0.0            	|  642            	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_batch_end                                                                                                                         	|  0.0            	|  642            	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_batch_end  	|  0.0            	|  642            	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_batch_end                                                                                                                      	|  0.0            	|  642            	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_validation_epoch_end                                                                                                                      	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_epoch_end                                                                                                                         	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_validation_epoch_end  	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_epoch_end                                                                                                                      	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_validation_end                                                                                                                               	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_validation_end                                                                                                                            	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_validation_end                                                                                                                       	|  0.0            	|  41             	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_sanity_check_end                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_sanity_check_end                                                                                                                             	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_sanity_check_end      	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_train_start                                                                                                                                  	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_start           	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_train_start                                                                                                                               	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Strategy]SingleDeviceStrategy.on_train_start                                                                                                                          	|  0.0            	|  1              	|  0.0            	|  0.0            	|
|  [Callback]ModelSummary.on_train_epoch_start                                                                                                                            	|  0.0            	|  200            	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_start     	|  0.0            	|  200            	|  0.0            	|  0.0            	|
|  [LightningModule]Toymodel.on_train_epoch_start                                                                                                                         	|  0.0            	|  200            	|  0.0            	|  0.0            	|
|  [Callback]ModelCheckpoint{'monitor': 'train_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  0.0            	|  7200           	|  0.0            	|  0.0            	|
